uid,ds,seq
1,2020-01-01,"49,20,81,10,19,94,40,77,7,59,70,47,8,88,32,49,79,50,22,35,51,56,3,50,62,19,18,85,26,23,100,83,73,6,42,64,73,8,23,12,53,11,55,14,95"
1,2020-01-02,"80,6,100"
1,2020-01-03,"40,89,41"
1,2020-01-04,"87,33,20,55,12,41,71,70,8,12,22,84,55,51,39,80,54,16,22,63,90,43,92,42,84,14,23,17,74,33,31,8,18,73,88,29,93,81,81,33,58"
1,2020-01-05,"26,41,84,88,2,51,74,40,75,34,72,1,2,25,71,50,67,10,43,47,97,76,92,96,59,33,82,68,21,4,35,67"
1,2020-01-06,"87,78,36,1,5,24,30,28,25,20,33,35,25,98,57,69,24,97,3,35,68,9,37,6,5,15,75"
1,2020-01-07,"69,99,91,4,42,13,4,6,29,55,48,27,87,4,32,2,55,100,92,43,18,76,22,53,22,8,26,8,95,57,37,7,7,41,73,73,94,26,70,47,74,69,44,73,86,71,41,25,58,69,92,15,62,35,88,39,4,67,51,26,93,10,47,28,26,49,4,68,70,45,87,92,74"
1,2020-01-08,"67,61,39,15,11,12,96,73,64,50,50,72,96,47,96,45,2,49,29,42,50,12,74,36,33,80,71,98,6,70,1,17,89,27,9,90,77,93,98,10,99,9,65,9,37,87,73,18,13,58,18,16,88,96,29,17,65,80,87,96,37,28,68,76,15,89,51,69,96,66,13,31,54,54,40,54,77,86,2,63,28,36,49,10,14,71"
1,2020-01-09,"66,53,33,56,40,50"
1,2020-01-10,"6,73,56,98,10,59,35,13,91,85,46,41,99,4,18,78,3,58,3,14,85,44,49,92,77,70,44,82,73,17,48,15,70,69,29,21,28,82,60,75,51,26,35,78,78,27,92,15,37,31,99,25,2,36,9,12,78,4,39,6,98,100"
2,2020-01-01,"64,13,36,48,97,9,93,83,66,15,38,81,23,7,57,42,100,9,37,91,44"
2,2020-01-02,37
2,2020-01-03,"59,25,4,75,85,38,30"
2,2020-01-04,"91,13,50,55,65,53,73,3,68,14,28,83,43,68,43,23,11,26,78,48,25,14,79,67,29,94,86,15,22,93,100,92,26,44,89,38,36,39,38,70,12,72,98,58,67,83,95,5,22,92,44,16,24,51,7,48,9,14,69,92,100,42,83,38,88,65,93,43,1,39,68,1,61,24,62,66,55,19,12,30,20,4,17,59,71,49,28,82,40,59,86,28,28,70,9,21,27,48,88"
2,2020-01-05,"74,38,61,100,17,77,36,44,77,89,9,38,61,6,12,8,51,8,58,38,24,33,14,47,58,87,18,38,26,16,99,92,86,8,17,41,80,18,64,51,57,79,38,87,90,23,84,92,100,69,30"
